year,qualfield,gender_detail,lfs,count,pc,group,married,agegroup,code,gender,childgroup,child,mfc,bach,uniform,field,.group
2006,B. Commerce,f,"Employed, worked full-time",NA,0.7700774760269191,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Commerce,11
2006,B. Commerce,f,"Employed, worked part-time",NA,0.16505791398022834,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Commerce,12
2006,B. Commerce,f,"Employed, away from work",NA,0.02687825475686703,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Commerce,13
2006,B. Commerce,f,Not in the labour force,NA,0.01694795998703501,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Commerce,14
2006,B. Commerce,f,Unemployed,NA,0.021038395248950494,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Commerce,15
2006,B. Education,f,"Employed, worked full-time",NA,0.7186921496648352,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Education,21
2006,B. Education,f,"Employed, worked part-time",NA,0.24082301748462642,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Education,22
2006,B. Education,f,"Employed, away from work",NA,0.012985024519775209,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Education,23
2006,B. Education,f,Not in the labour force,NA,0.02386423099373107,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Education,24
2006,B. Education,f,Unemployed,NA,0.003635577337032119,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Education,25
2006,B. Engineering,f,"Employed, worked full-time",NA,0.7998420532321953,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Engineering,31
2006,B. Engineering,f,"Employed, worked part-time",NA,0.11085009330117755,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Engineering,32
2006,B. Engineering,f,"Employed, away from work",NA,0.036937138097718855,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Engineering,33
2006,B. Engineering,f,Not in the labour force,NA,0.0115015015015015,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Engineering,34
2006,B. Engineering,f,Unemployed,NA,0.04086921386740679,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Engineering,35
2006,B. Humanities,f,"Employed, worked full-time",NA,0.6176102124271821,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Humanities,41
2006,B. Humanities,f,"Employed, worked part-time",NA,0.26485429245222,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Humanities,42
2006,B. Humanities,f,"Employed, away from work",NA,0.03219598428225108,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Humanities,43
2006,B. Humanities,f,Not in the labour force,NA,0.04836690157952956,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Humanities,44
2006,B. Humanities,f,Unemployed,NA,0.036972609258817325,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,Humanities,45
2006,B. IT,f,"Employed, worked full-time",NA,0.7868014357539401,lfs.1524.uniform,NA,1524,f,f,FALSE,NA,NA,TRUE,TRUE,IT,51
